playerTransformPositions: x = 201.3368, z = 117.7558 
playerTransformPositions: x = 201.3367, z = 117.7557 
playerTransformPositions: x = 201.3363, z = 117.7554 
playerTransformPositions: x = 201.3354, z = 117.7547 
playerTransformPositions: x = 201.3339, z = 117.7534 
playerTransformPositions: x = 201.3315, z = 117.7514 
playerTransformPositions: x = 201.328, z = 117.7486 
playerTransformPositions: x = 201.3234, z = 117.7447 
playerTransformPositions: x = 201.3172, z = 117.7395 
playerTransformPositions: x = 201.3094, z = 117.7331 
playerTransformPositions: x = 201.2999, z = 117.7252 
playerTransformPositions: x = 201.2883, z = 117.7155 
playerTransformPositions: x = 201.2745, z = 117.7041 
playerTransformPositions: x = 201.2584, z = 117.6906 
playerTransformPositions: x = 201.2396, z = 117.675 
playerTransformPositions: x = 201.2181, z = 117.6571 
playerTransformPositions: x = 201.1937, z = 117.6369 
playerTransformPositions: x = 201.1668, z = 117.6145 
playerTransformPositions: x = 201.1371, z = 117.5898 
playerTransformPositions: x = 201.1046, z = 117.5627 
playerTransformPositions: x = 201.0692, z = 117.5333 
playerTransformPositions: x = 201.0309, z = 117.5015 
playerTransformPositions: x = 200.9898, z = 117.4673 
playerTransformPositions: x = 200.9459, z = 117.4307 
playerTransformPositions: x = 200.8991, z = 117.3918 
playerTransformPositions: x = 200.8495, z = 117.3506 
playerTransformPositions: x = 200.797, z = 117.3069 
playerTransformPositions: x = 200.7417, z = 117.2609 
playerTransformPositions: x = 200.6835, z = 117.2125 
playerTransformPositions: x = 200.6226, z = 117.1618 
playerTransformPositions: x = 200.5588, z = 117.1088 
playerTransformPositions: x = 200.4921, z = 117.0533 
playerTransformPositions: x = 200.4226, z = 116.9955 
playerTransformPositions: x = 200.3503, z = 116.9353 
playerTransformPositions: x = 200.2751, z = 116.8728 
playerTransformPositions: x = 200.197, z = 116.8079 
playerTransformPositions: x = 200.1161, z = 116.7406 
playerTransformPositions: x = 200.0324, z = 116.671 
playerTransformPositions: x = 199.9476, z = 116.6004 
playerTransformPositions: x = 199.8627, z = 116.5299 
playerTransformPositions: x = 199.7779, z = 116.4593 
playerTransformPositions: x = 199.2689, z = 116.036 
playerTransformPositions: x = 199.1841, z = 115.9654 
playerTransformPositions: x = 199.1001, z = 115.8956 
playerTransformPositions: x = 199.0167, z = 115.8263 
playerTransformPositions: x = 198.9337, z = 115.7572 
playerTransformPositions: x = 198.8509, z = 115.6883 
playerTransformPositions: x = 198.7681, z = 115.6194 
playerTransformPositions: x = 198.6856, z = 115.5508 
playerTransformPositions: x = 198.5205, z = 115.4136 
playerTransformPositions: x = 198.4383, z = 115.3452 
playerTransformPositions: x = 198.3567, z = 115.2773 
playerTransformPositions: x = 198.2751, z = 115.2095 
playerTransformPositions: x = 198.1936, z = 115.1416 
playerTransformPositions: x = 198.112, z = 115.0738 
playerTransformPositions: x = 198.0304, z = 115.0059 
playerTransformPositions: x = 197.9488, z = 114.9381 
playerTransformPositions: x = 197.8672, z = 114.8702 
playerTransformPositions: x = 197.7856, z = 114.8023 
playerTransformPositions: x = 197.7041, z = 114.7345 
playerTransformPositions: x = 197.6225, z = 114.6666 
playerTransformPositions: x = 197.4576, z = 114.5331 
playerTransformPositions: x = 197.3742, z = 114.4674 
playerTransformPositions: x = 197.29, z = 114.4028 
playerTransformPositions: x = 197.2052, z = 114.3388 
playerTransformPositions: x = 197.119, z = 114.2761 
playerTransformPositions: x = 197.0317, z = 114.2144 
playerTransformPositions: x = 196.9428, z = 114.155 
playerTransformPositions: x = 196.8531, z = 114.0968 
playerTransformPositions: x = 196.7623, z = 114.0395 
playerTransformPositions: x = 196.6701, z = 113.9846 
playerTransformPositions: x = 196.5766, z = 113.9306 
playerTransformPositions: x = 196.4816, z = 113.8791 
playerTransformPositions: x = 196.3857, z = 113.8286 
playerTransformPositions: x = 196.2888, z = 113.7793 
playerTransformPositions: x = 196.1911, z = 113.7311 
playerTransformPositions: x = 196.0925, z = 113.684 
playerTransformPositions: x = 195.9931, z = 113.6382 
playerTransformPositions: x = 195.8922, z = 113.5949 
playerTransformPositions: x = 195.7914, z = 113.5515 
playerTransformPositions: x = 195.6898, z = 113.5095 
playerTransformPositions: x = 195.5875, z = 113.4686 
playerTransformPositions: x = 195.4852, z = 113.4278 
playerTransformPositions: x = 195.3829, z = 113.387 
playerTransformPositions: x = 195.2804, z = 113.3461 
playerTransformPositions: x = 195.1774, z = 113.3066 
playerTransformPositions: x = 195.0744, z = 113.2671 
playerTransformPositions: x = 194.9714, z = 113.2275 
playerTransformPositions: x = 194.8684, z = 113.188 
playerTransformPositions: x = 194.7654, z = 113.1484 
playerTransformPositions: x = 194.6624, z = 113.1089 
playerTransformPositions: x = 194.5599, z = 113.068 
playerTransformPositions: x = 194.4585, z = 113.0244 
playerTransformPositions: x = 194.3577, z = 112.9796 
playerTransformPositions: x = 194.2576, z = 112.9333 
playerTransformPositions: x = 194.1587, z = 112.8845 
playerTransformPositions: x = 194.0597, z = 112.8356 
playerTransformPositions: x = 193.9608, z = 112.7868 
playerTransformPositions: x = 193.8618, z = 112.738 
playerTransformPositions: x = 193.7628, z = 112.6892 
playerTransformPositions: x = 193.6639, z = 112.6404 
playerTransformPositions: x = 193.5664, z = 112.5891 
playerTransformPositions: x = 193.4709, z = 112.5348 
playerTransformPositions: x = 193.3776, z = 112.4774 
playerTransformPositions: x = 193.2863, z = 112.4172 
playerTransformPositions: x = 193.1974, z = 112.3542 
playerTransformPositions: x = 193.1108, z = 112.2882 
playerTransformPositions: x = 193.0266, z = 112.2195 
playerTransformPositions: x = 192.9448, z = 112.1479 
playerTransformPositions: x = 192.864, z = 112.0752 
playerTransformPositions: x = 192.7832, z = 112.0025 
playerTransformPositions: x = 192.7025, z = 111.9297 
playerTransformPositions: x = 192.6217, z = 111.857 
playerTransformPositions: x = 192.5409, z = 111.7843 
playerTransformPositions: x = 192.4602, z = 111.7116 
playerTransformPositions: x = 192.3794, z = 111.6389 
playerTransformPositions: x = 192.2986, z = 111.5661 
playerTransformPositions: x = 192.2179, z = 111.4934 
playerTransformPositions: x = 192.1371, z = 111.4207 
playerTransformPositions: x = 192.0563, z = 111.348 
playerTransformPositions: x = 191.9756, z = 111.2753 
playerTransformPositions: x = 191.8948, z = 111.2026 
playerTransformPositions: x = 191.8141, z = 111.1298 
playerTransformPositions: x = 191.7333, z = 111.0571 
playerTransformPositions: x = 191.6525, z = 110.9844 
playerTransformPositions: x = 191.5718, z = 110.9117 
playerTransformPositions: x = 191.491, z = 110.8389 
playerTransformPositions: x = 191.4102, z = 110.7662 
playerTransformPositions: x = 191.3295, z = 110.6935 
playerTransformPositions: x = 191.2487, z = 110.6208 
playerTransformPositions: x = 191.1679, z = 110.548 
playerTransformPositions: x = 191.0872, z = 110.4753 
playerTransformPositions: x = 191.0064, z = 110.4026 
playerTransformPositions: x = 190.9256, z = 110.3299 
playerTransformPositions: x = 190.8449, z = 110.2571 
playerTransformPositions: x = 190.7641, z = 110.1844 
playerTransformPositions: x = 190.6833, z = 110.1117 
playerTransformPositions: x = 190.6026, z = 110.039 
playerTransformPositions: x = 190.524, z = 109.9644 
playerTransformPositions: x = 190.448, z = 109.8871 
playerTransformPositions: x = 190.3745, z = 109.8078 
playerTransformPositions: x = 190.304, z = 109.7262 
playerTransformPositions: x = 190.2366, z = 109.6425 
playerTransformPositions: x = 190.1724, z = 109.5568 
playerTransformPositions: x = 190.1113, z = 109.4694 
playerTransformPositions: x = 190.0536, z = 109.3803 
playerTransformPositions: x = 189.9992, z = 109.2896 
playerTransformPositions: x = 189.9483, z = 109.1975 
playerTransformPositions: x = 189.9008, z = 109.1042 
playerTransformPositions: x = 189.8568, z = 109.0095 
playerTransformPositions: x = 189.8164, z = 108.9139 
playerTransformPositions: x = 189.7796, z = 108.8174 
playerTransformPositions: x = 189.7464, z = 108.7203 
playerTransformPositions: x = 189.7169, z = 108.6234 
playerTransformPositions: x = 189.6911, z = 108.5272 
playerTransformPositions: x = 189.6687, z = 108.4323 
playerTransformPositions: x = 189.6497, z = 108.339 
playerTransformPositions: x = 189.6338, z = 108.2476 
playerTransformPositions: x = 189.6209, z = 108.1585 
playerTransformPositions: x = 189.6107, z = 108.0718 
playerTransformPositions: x = 189.6031, z = 107.9879 
playerTransformPositions: x = 189.5976, z = 107.907 
playerTransformPositions: x = 189.5941, z = 107.8292 
playerTransformPositions: x = 189.5924, z = 107.7546 
playerTransformPositions: x = 189.5921, z = 107.6835 
playerTransformPositions: x = 189.5932, z = 107.6158 
playerTransformPositions: x = 189.5954, z = 107.5516 
playerTransformPositions: x = 189.5984, z = 107.4911 
playerTransformPositions: x = 189.6022, z = 107.4342 
playerTransformPositions: x = 189.6065, z = 107.3809 
playerTransformPositions: x = 189.6112, z = 107.3314 
playerTransformPositions: x = 189.616, z = 107.2855 
playerTransformPositions: x = 189.621, z = 107.2433 
playerTransformPositions: x = 189.6259, z = 107.2049 
playerTransformPositions: x = 189.6306, z = 107.1701 
playerTransformPositions: x = 189.6351, z = 107.1391 
playerTransformPositions: x = 189.6393, z = 107.1117 
playerTransformPositions: x = 189.6431, z = 107.088 
playerTransformPositions: x = 189.6463, z = 107.068 
playerTransformPositions: x = 189.6491, z = 107.0517 
playerTransformPositions: x = 189.6512, z = 107.039 
playerTransformPositions: x = 189.6528, z = 107.03 
playerTransformPositions: x = 189.6537, z = 107.0246 
playerTransformPositions: x = 189.654, z = 107.0229 
playerTransformPositions: x = 189.6541, z = 107.0228 
playerTransformPositions: x = 189.6544, z = 107.0224 
playerTransformPositions: x = 189.6552, z = 107.0217 
playerTransformPositions: x = 189.6566, z = 107.0204 
playerTransformPositions: x = 189.6589, z = 107.0186 
playerTransformPositions: x = 189.6625, z = 107.0161 
playerTransformPositions: x = 189.6676, z = 107.0129 
playerTransformPositions: x = 189.6745, z = 107.0092 
playerTransformPositions: x = 189.6833, z = 107.0047 
playerTransformPositions: x = 189.7168, z = 106.9882 
playerTransformPositions: x = 189.7492, z = 106.9726 
playerTransformPositions: x = 189.7704, z = 106.9625 
playerTransformPositions: x = 189.8511, z = 106.924 
playerTransformPositions: x = 189.9173, z = 106.8924 
playerTransformPositions: x = 189.9553, z = 106.8743 
playerTransformPositions: x = 190.0893, z = 106.8104 
playerTransformPositions: x = 190.1407, z = 106.7859 
playerTransformPositions: x = 190.3795, z = 106.672 
playerTransformPositions: x = 190.6651, z = 106.5358 
playerTransformPositions: x = 190.742, z = 106.499 
playerTransformPositions: x = 190.9863, z = 106.3825 
playerTransformPositions: x = 191.0722, z = 106.3416 
playerTransformPositions: x = 191.2506, z = 106.2565 
playerTransformPositions: x = 191.3309, z = 106.2201 
playerTransformPositions: x = 191.3721, z = 106.2004 
playerTransformPositions: x = 191.4223, z = 106.1765 
playerTransformPositions: x = 191.4507, z = 106.163 
playerTransformPositions: x = 191.5495, z = 106.1163 
playerTransformPositions: x = 191.5869, z = 106.0987 
playerTransformPositions: x = 191.7126, z = 106.0398 
playerTransformPositions: x = 191.8076, z = 105.9955 
playerTransformPositions: x = 191.8584, z = 105.9717 
playerTransformPositions: x = 191.9669, z = 105.9212 
playerTransformPositions: x = 192.0245, z = 105.8944 
playerTransformPositions: x = 192.2108, z = 105.808 
playerTransformPositions: x = 192.3461, z = 105.7452 
playerTransformPositions: x = 192.4901, z = 105.6775 
playerTransformPositions: x = 192.6411, z = 105.603 
playerTransformPositions: x = 192.797, z = 105.5201 
playerTransformPositions: x = 192.9552, z = 105.4276 
playerTransformPositions: x = 193.1123, z = 105.3254 
playerTransformPositions: x = 193.1895, z = 105.2709 
playerTransformPositions: x = 193.2652, z = 105.2145 
playerTransformPositions: x = 193.3391, z = 105.1564 
playerTransformPositions: x = 193.4111, z = 105.0966 
playerTransformPositions: x = 193.4812, z = 105.0353 
playerTransformPositions: x = 193.5493, z = 104.9725 
playerTransformPositions: x = 193.6153, z = 104.9085 
playerTransformPositions: x = 193.6792, z = 104.8432 
playerTransformPositions: x = 193.7409, z = 104.7767 
playerTransformPositions: x = 193.8005, z = 104.709 
playerTransformPositions: x = 193.8578, z = 104.6403 
playerTransformPositions: x = 193.9129, z = 104.5705 
playerTransformPositions: x = 193.9657, z = 104.4996 
playerTransformPositions: x = 194.0163, z = 104.4278 
playerTransformPositions: x = 194.0646, z = 104.3549 
playerTransformPositions: x = 194.1107, z = 104.281 
playerTransformPositions: x = 194.1545, z = 104.2061 
playerTransformPositions: x = 194.1961, z = 104.1302 
playerTransformPositions: x = 194.2354, z = 104.0533 
playerTransformPositions: x = 194.2725, z = 103.9754 
playerTransformPositions: x = 194.3073, z = 103.8965 
playerTransformPositions: x = 194.3399, z = 103.8166 
playerTransformPositions: x = 194.3702, z = 103.7357 
playerTransformPositions: x = 194.3982, z = 103.6539 
playerTransformPositions: x = 194.4239, z = 103.571 
playerTransformPositions: x = 194.4475, z = 103.487 
playerTransformPositions: x = 194.4688, z = 103.4019 
playerTransformPositions: x = 194.4881, z = 103.3155 
playerTransformPositions: x = 194.5052, z = 103.2278 
playerTransformPositions: x = 194.5204, z = 103.1387 
playerTransformPositions: x = 194.5336, z = 103.048 
playerTransformPositions: x = 194.545, z = 102.9557 
playerTransformPositions: x = 194.5547, z = 102.8615 
playerTransformPositions: x = 194.5629, z = 102.7655 
playerTransformPositions: x = 194.5705, z = 102.6688 
playerTransformPositions: x = 194.5781, z = 102.5722 
playerTransformPositions: x = 194.5857, z = 102.4755 
playerTransformPositions: x = 194.5933, z = 102.3789 
playerTransformPositions: x = 194.6009, z = 102.2823 
playerTransformPositions: x = 194.6085, z = 102.1856 
playerTransformPositions: x = 194.6161, z = 102.089 
playerTransformPositions: x = 194.6237, z = 101.9923 
playerTransformPositions: x = 194.6313, z = 101.8957 
playerTransformPositions: x = 194.6376, z = 101.7997 
playerTransformPositions: x = 194.6426, z = 101.7043 
playerTransformPositions: x = 194.6455, z = 101.6102 
playerTransformPositions: x = 194.646, z = 101.5168 
playerTransformPositions: x = 194.6448, z = 101.4244 
playerTransformPositions: x = 194.6424, z = 101.3329 
playerTransformPositions: x = 194.6388, z = 101.2422 
playerTransformPositions: x = 194.6341, z = 101.1524 
playerTransformPositions: x = 194.6295, z = 101.0635 
playerTransformPositions: x = 194.6236, z = 100.9747 
playerTransformPositions: x = 194.6179, z = 100.8876 
playerTransformPositions: x = 194.6111, z = 100.8006 
playerTransformPositions: x = 194.6042, z = 100.7137 
playerTransformPositions: x = 194.5974, z = 100.6267 
playerTransformPositions: x = 194.5905, z = 100.5397 
playerTransformPositions: x = 194.5837, z = 100.4527 
playerTransformPositions: x = 194.5769, z = 100.3657 
playerTransformPositions: x = 194.57, z = 100.2787 
playerTransformPositions: x = 194.5632, z = 100.1917 
playerTransformPositions: x = 194.5563, z = 100.1047 
playerTransformPositions: x = 194.5495, z = 100.0177 
playerTransformPositions: x = 194.5426, z = 99.93076 
playerTransformPositions: x = 194.5358, z = 99.84377 
playerTransformPositions: x = 194.5289, z = 99.75677 
playerTransformPositions: x = 194.5221, z = 99.66979 
playerTransformPositions: x = 194.5152, z = 99.5828 
playerTransformPositions: x = 194.5084, z = 99.49581 
playerTransformPositions: x = 194.5016, z = 99.40882 
playerTransformPositions: x = 194.4947, z = 99.32183 
playerTransformPositions: x = 194.4879, z = 99.23485 
playerTransformPositions: x = 194.481, z = 99.14786 
playerTransformPositions: x = 194.4742, z = 99.06087 
playerTransformPositions: x = 194.4673, z = 98.97388 
playerTransformPositions: x = 194.4605, z = 98.88689 
playerTransformPositions: x = 194.4536, z = 98.7999 
